Area,LengthCategory,SharksCounted
Bribie Island,<2m,2
Bribie Island,>2m,8
Bundaberg,<2m,628
Bundaberg,>2m,606
Cairns,<2m,799
Cairns,>2m,652
Capricorn Coast,<2m,1292
Capricorn Coast,>2m,551
Gladstone,<2m,861
Gladstone,>2m,194
Gold Coast,<2m,742
Gold Coast,>2m,508
Mackay,<2m,333
Mackay,>2m,1383
Nth Stradbroke Is.,<2m,124
Nth Stradbroke Is.,>2m,236
Rainbow Beach,<2m,454
Rainbow Beach,>2m,554
Sunshine Coast North,<2m,547
Sunshine Coast North,>2m,611
Sunshine Coast South,<2m,68
Sunshine Coast South,>2m,48
Sunshine Coast South & Bribie Island,<2m,209
Sunshine Coast South & Bribie Island,>2m,178
Townsville,<2m,1469
Townsville,>2m,958
