Date,region,AveragePrice
2015-01-01,Midsouth,1.349
2015-01-01,Northeast,1.554
2015-01-01,Plains,1.381
2015-01-01,Southeast,1.378
2015-01-01,West,1.184
2015-04-01,Midsouth,1.31
2015-04-01,Northeast,1.613
2015-04-01,Plains,1.474
2015-04-01,Southeast,1.426
2015-04-01,West,1.237
2015-07-01,Midsouth,1.392
2015-07-01,Northeast,1.594
2015-07-01,Plains,1.484
2015-07-01,Southeast,1.448
2015-07-01,West,1.363
2015-10-01,Midsouth,1.354
2015-10-01,Northeast,1.413
2015-10-01,Plains,1.411
2015-10-01,Southeast,1.406
2015-10-01,West,1.167
2016-01-01,Midsouth,1.262
2016-01-01,Northeast,1.432
2016-01-01,Plains,1.271
2016-01-01,Southeast,1.256
2016-01-01,West,0.99
2016-04-01,Midsouth,1.255
2016-04-01,Northeast,1.513
2016-04-01,Plains,1.276
2016-04-01,Southeast,1.175
2016-04-01,West,1.081
2016-07-01,Midsouth,1.414
2016-07-01,Northeast,1.674
2016-07-01,Plains,1.487
2016-07-01,Southeast,1.353
2016-07-01,West,1.366
2016-10-01,Midsouth,1.475
2016-10-01,Northeast,1.752
2016-10-01,Plains,1.513
2016-10-01,Southeast,1.391
2016-10-01,West,1.323
2017-01-01,Midsouth,1.299
2017-01-01,Northeast,1.645
2017-01-01,Plains,1.301
2017-01-01,Southeast,1.277
2017-01-01,West,1.065
2017-04-01,Midsouth,1.576
2017-04-01,Northeast,1.811
2017-04-01,Plains,1.474
2017-04-01,Southeast,1.512
2017-04-01,West,1.198
2017-07-01,Midsouth,1.646
2017-07-01,Northeast,1.714
2017-07-01,Plains,1.657
2017-07-01,Southeast,1.721
2017-07-01,West,1.765
2017-10-01,Midsouth,1.561
2017-10-01,Northeast,1.568
2017-10-01,Plains,1.611
2017-10-01,Southeast,1.502
2017-10-01,West,1.504
2018-01-01,Midsouth,1.364
2018-01-01,Northeast,1.491
2018-01-01,Plains,1.362
2018-01-01,Southeast,1.302
2018-01-01,West,1.3
